date,ticker,company,concept,open,high,low,close,volume,amount,turnover_rate
2024-01-02,600519,Kweichow Moutai,白酒消费,1524.63,1535.01,1496.42,1521.66,76339074,116162175707.1,5.089
2024-01-03,600519,Kweichow Moutai,白酒消费,1563.06,1586.45,1543.91,1563.6,66021396,103231299149.84,4.401
2024-01-04,600519,Kweichow Moutai,白酒消费,1593.33,1612.05,1548.62,1586.87,62131166,98594218326.4,4.142
2024-01-05,600519,Kweichow Moutai,白酒消费,1562.57,1594.57,1531.19,1569.42,66525034,104405946170.94,4.435
2024-01-08,600519,Kweichow Moutai,白酒消费,1513.64,1532.62,1479.52,1509.27,60279803,90978602389.64,4.019
2024-01-09,600519,Kweichow Moutai,白酒消费,1492.53,1521.11,1463.93,1480.79,55800734,82629018026.67,3.72
2024-01-10,600519,Kweichow Moutai,白酒消费,1482.51,1501.7,1461.34,1475.29,79818212,117754920718.41,5.321
2024-01-11,600519,Kweichow Moutai,白酒消费,1521.87,1561.44,1511.76,1517.89,75441971,114512257475.92,5.029
2024-01-12,600519,Kweichow Moutai,白酒消费,1524.63,1562.35,1496.22,1514.27,70191185,106288443843.94,4.679
2024-01-15,600519,Kweichow Moutai,白酒消费,1515.95,1546.24,1499.79,1516.38,73365675,111250601446.52,4.891
2024-01-16,600519,Kweichow Moutai,白酒消费,1516.96,1527.78,1493.64,1507.78,76684805,115624167693.37,5.112
2024-01-17,600519,Kweichow Moutai,白酒消费,1520.75,1557.14,1479.16,1507.65,61982097,93447007507.45,4.132
2024-01-18,600519,Kweichow Moutai,白酒消费,1531.32,1546.55,1500.86,1520.54,91610439,139296961432.02,6.107
2024-01-19,600519,Kweichow Moutai,白酒消费,1524.74,1549.03,1491.08,1531.92,74351019,113899973335.55,4.957
2024-01-22,600519,Kweichow Moutai,白酒消费,1530.13,1551.16,1513.78,1529.31,64595051,98786115985.35,4.306
2024-01-23,600519,Kweichow Moutai,白酒消费,1512.28,1530.13,1489.25,1507.03,61710861,92999909980.76,4.114
2024-01-24,600519,Kweichow Moutai,白酒消费,1526.47,1566.13,1517.9,1524.76,63436347,96725501234.25,4.229
2024-01-25,600519,Kweichow Moutai,白酒消费,1528.18,1562.61,1488.67,1530.7,59037875,90369391507.03,3.936
2024-01-26,600519,Kweichow Moutai,白酒消费,1516.87,1536.39,1478.89,1527.67,71883310,109814316015.26,4.792
2024-01-29,600519,Kweichow Moutai,白酒消费,1514.78,1555.18,1492.39,1520.11,56158155,85366483270.23,3.744
