date,ticker,open,high,low,close,volume,amount
2024-01-02,0700.HK,381.8,393.11,378.08,387.17,58761784,22750948953.88
2024-01-03,0700.HK,384.6,388.98,376.07,382.6,56850901,21750881187.24
2024-01-04,0700.HK,377.12,383.38,374.03,377.65,50901358,19223049303.83
2024-01-05,0700.HK,374.52,385.46,366.68,378.33,47035246,17794920020.54
2024-01-08,0700.HK,375.18,377.6,371.89,375.69,68741344,25825320439.03
2024-01-09,0700.HK,373.77,381.72,365.76,372.18,55323850,20590575226.0
2024-01-10,0700.HK,359.33,362.1,352.83,359.72,54565499,19628100358.65
2024-01-11,0700.HK,352.36,357.25,345.37,352.95,46200960,16306636688.5
2024-01-12,0700.HK,349.54,352.82,345.04,348.62,61093406,21298585535.35
2024-01-15,0700.HK,351.49,357.64,346.27,353.82,49405173,17480524365.12
2024-01-16,0700.HK,361.32,367.02,352.31,359.4,57913147,20814028248.13
2024-01-17,0700.HK,358.98,360.9,354.04,358.63,51275258,18389050696.89
2024-01-18,0700.HK,355.58,365.88,352.86,358.68,53404158,19155222935.92
2024-01-19,0700.HK,353.45,358.09,350.15,353.16,47770481,16870555401.83
2024-01-22,0700.HK,358.35,361.24,356.94,359.18,61977260,22260823018.23
2024-01-23,0700.HK,366.74,370.04,361.4,365.65,43880568,16044793523.63
2024-01-24,0700.HK,372.35,374.39,369.29,371.36,72670546,26987210539.65
2024-01-25,0700.HK,384.82,393.01,377.46,383.22,63325716,24267646041.12
2024-01-26,0700.HK,380.62,385.4,373.71,377.21,57650423,21746381203.15
2024-01-29,0700.HK,378.19,386.84,366.8,375.19,47087099,17666467451.15
2024-01-30,0700.HK,373.12,380.53,368.38,373.15,68183083,25442447799.98
2024-01-31,0700.HK,373.51,378.08,370.31,374.08,55370228,20712739869.86
2024-02-01,0700.HK,384.89,391.12,379.84,381.33,54198198,20667630875.76
2024-02-02,0700.HK,384.74,389.41,379.7,386.81,61092632,23631088530.74
2024-02-05,0700.HK,379.45,385.29,375.33,381.92,57983229,22145237508.2
2024-02-06,0700.HK,391.0,395.49,383.33,389.73,59120056,23040855264.86
2024-02-07,0700.HK,379.9,392.34,371.9,383.53,50096369,19213643750.23
2024-02-08,0700.HK,393.9,401.69,388.36,392.78,56317484,22120134831.46
2024-02-09,0700.HK,397.84,404.17,393.86,397.89,61145271,24329111374.44
2024-02-12,0700.HK,392.41,398.63,381.27,390.09,47679812,18599392601.26
2024-02-13,0700.HK,391.54,394.19,383.0,392.28,60432668,23706382069.18
2024-02-14,0700.HK,404.43,414.03,396.34,402.11,48576651,19533088171.59
